url,term,weak_reason,has_gsc_impression,current_definition
/terms/halogenated-hydrocarbons.html,ハロゲン化炭化水素（トリクロロエチレン等）,を手がかりに,Y,「ハロゲン化炭化水素（トリクロロエチレン等）」とは、代替および規制動向とリスクを手がかりに。
/terms/oxidizable-substances-spontaneous-combustion.html,易酸化物質・自然発火（概念）,を手がかりに,Y,易酸化物質・自然発火（概は「易酸化物質、自然発火（概念）」とは、危険物取扱いに関する基本的な論点を手がかりに。
/terms/tokushu-kenshin-kokiatsu.html,特殊健康診断,定義が短い/中身が薄い,Y,特殊健康診断は（鉛）」とは。
/terms/metal-fume-concept.html,金属ヒューム（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,Y,「金属ヒューム（概念）」とは、溶接および溶断のばく露を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/gc-lc-concept.html,GC/LC（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「GC/LC（概念）」とは、有機溶剤、成分分析を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/icp-ms-aas.html,ICP-MS/AAS等（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「ICP-MS/AAS等（概念）」とは、金属分析の位置づけを手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/n-hexane-peripheral-neuropathy.html,n-ヘキサン（末梢神経障害）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「n-ヘキサン（末梢神経障害）」とは、溶媒障害の典型例を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/ergonomics-juryobutsu-vdt.html,エルゴノミクス（重量物取扱い・VDT）,を手がかりに,,エルゴノミクス（重量物取は「エルゴノミクス（重量物取扱い、VDT）」とは、腰痛予防指針およびリスク因子を手がかりに。
/terms/mold-fungi-indoor-environment.html,カビ・真菌（屋内環境）,を手がかりに,,カビ・真菌（屋内環境）は「カビ、真菌（屋内環境）」とは、建築衛生および空調の接続を手がかりに。
/terms/gas-chromatograph-atomic-absorption.html,ガスクロマトグラフ・原子吸光の位置づけ（概念）,を手がかりに,,ガスクロマトグラフ・原子は「ガスクロマトグラフ、原子吸光の位置づけ（概念）」とは、分析法選択の判断材料を手がかりに。
/terms/cyanide-concept.html,シアン化物（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「シアン化物（概念）」とは、窒息系の中毒機序を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/nano-particles-concept.html,ナノ粒子（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「ナノ粒子（概念）」とは、ばく露評価の難しさを手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/nickel-chromium-cadmium-toxicity.html,ニッケル・クロム・カドミウム（毒性概要）,を手がかりに,,ニッケル・クロム・カドミは「ニッケル、クロム、カドミウム（毒性概要）」とは、有害金属の頻出論点を手がかりに。
/terms/shipbuilding-welding-fume-exposure.html,フジツボ削り・造船・溶接ヒューム（ばく露場面）,を手がかりに,,【1】定義：フジツボ削り・造船・溶接は「フジツボ削り、造船、溶接ヒューム（ばく露場面）」とは、マンガン、金属ヒュームを手がかりに…。根拠は関連法令。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。
/terms/risk-assessment.html,リスクアセスメント,を手がかりに,,リスクアセスメントは（化学、作業環境）」とは、ばく露評価と低減措置の優先順位（発生源～保護具）を手がかりに、。
/terms/risk-matrix-method.html,リスクマトリクス法,定義が短い/中身が薄い,,リスクマトリクス法は。
/terms/man-made-mineral-fiber-rockwool.html,人造鉱物繊維・ロックウール（概念）,を手がかりに,,人造鉱物繊維・ロックウーは「人造鉱物繊維、ロックウール（概念）」とは、生物耐久性と分類の論点を手がかりに。
/terms/man-made-mineral-fiber.html,人造鉱物繊維（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「人造鉱物繊維（概念）」とは、石綿代替材の扱いを手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/work-environment-measurement-3.html,作業環境測定機器の校正・保守,を手がかりに,,作業環境測定機器の校正・は「作業環境測定機器の校正、保守」とは、流量校正および検知管の限界を手がかりに。
/terms/airflow-visualization-tracer.html,作業空間の気流可視化・トレーサー,を手がかりに,,作業空間の気流可視化・トは「作業空間の気流可視化、トレーサー」とは、局所排気改善の実務を手がかりに。
/terms/protective-clothing-gloves-skin.html,保護衣・手袋・皮膚ばく露対策,を手がかりに,,保護衣・手袋・皮膚ばく露は「保護衣、手袋、皮膚ばく露対策」とは、浸透、破れおよび交換頻度を手がかりに。
/terms/personal-sampling-exposure.html,個人用サンプリング（ばく露評価）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「個人用サンプリング（ばく露評価）」とは、代表ばく露とRIの概念を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/endocrine-disruptors.html,内分泌かく乱化学物質（概念）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「内分泌かく乱化学物質（概念）」とは、評価および情報収集の論点を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/dispersion-particle-size.html,分散度・相対沈降径・粒径分布,を手がかりに,,分散度・相対沈降径・粒径は「分散度、相対沈降径、粒径分布」とは、粉じん評価および管理区分との関係を手がかりに。
/terms/chemical-reaction-secondary-products.html,化学反応・分解・二次生成（現場リスク）,を手がかりに,,【1】定義：化学反応・分解・二次生成は「化学反応、分解、二次生成（現場リスク）」とは、副生成物および混合リスクの認識を手がかりに…。根拠は関連法令。試験要項の条文番号をメモに書き出して確認する。弱点論点は比較表で補強する。
/terms/chemical-reactivity-explosivity.html,化学物質の反応性・爆発性（概念）,を手がかりに,,化学物質の反応性・爆発性は「化学物質の反応性、爆発性（概念）」とは、保管および混触リスクを手がかりに。
/terms/half-life-decay-dose-rate.html,半減期・崩壊・照射線量率（概念）,を手がかりに,,半減期・崩壊・照射線量率は「半減期、崩壊、照射線量率（概念）」とは、放射線取扱いの基礎を手がかりに。
/terms/vinyl-chloride-pvc-fume.html,塩化ビニルモノマー・PVC加工ヒューム,を手がかりに,,塩化ビニルモノマー・PVは「塩化ビニルモノマー、PVC加工ヒューム」とは、肝血管肉腫リスクの認識を手がかりに。
/terms/cold-environment-local-injury.html,寒冷環境・冷え症・局所冷却障害（概念）,を手がかりに,,寒冷環境・冷え症・局所冷は「寒冷環境、冷え症、局所冷却障害（概念）」とは、末梢循環および保護具を手がかりに。
/terms/chokusetsu-yomitori-sokutei.html,捕集分析法／直接読み取り式測定,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「捕集分析法／直接読み取り式測定」とは、試料採取～分析と現場の適用限界を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/detector-tube-portable-analyzer.html,検知管・ポータブル分析器の定量域と干渉,を手がかりに,,検知管・ポータブル分析器は「検知管、ポータブル分析器の定量域と干渉」とは、現場判断の限界と確認分析を手がかりに。
/terms/detector-tube-direct-reading-limitations.html,検知管・直読式の原理と限界,を手がかりに,,検知管・直読式の原理と限は「検知管、直読式の原理と限界」とは、干渉、定量域および使用期限を手がかりに。
/terms/flowmeter-calibration-sampling-pump.html,流量計・校正（吸引ポンプ・ガス採取）,を手がかりに,,流量計・校正（吸引ポンプは「流量計、校正（吸引ポンプ、ガス採取）」とは、作業環境測定の信頼性の核心を手がかりに。
/terms/measurement-frequency-unit-evaluation.html,測定頻度・測定単位・工作日・評価値,を手がかりに,,測定頻度・測定単位・工作は「測定頻度、測定単位、工作日、評価値」とは、対象物質および区分ごとの型を手がかりに。
/terms/heat-stress-metabolic-rate-clothing.html,熱ストレス指標・代謝率・衣服・順化,を手がかりに,,熱ストレス指標・代謝率・は「熱ストレス指標、代謝率、衣服、順化」とは、WBGT運用の現場変数を手がかりに。
/terms/tokutei-kagaku-kanshi-nodo.html,特定化学物質の監視濃度等（確認の仕方）,を手がかりに,,「特定化学物質の監視濃度等（確認の仕方）」とは、告示および最新改正への追従が前提を手がかりに。
/terms/hydrogen-sulfide-acute-poisoning.html,硫化水素（急性中毒・臭気麻痺）,を手がかりに,,硫化水素（急性中毒・臭気は「硫化水素（急性中毒、臭気麻痺）」とは、タンク、下水および急死の型を手がかりに。
/terms/uv-laser-infrared-injury.html,紫外線・レーザー・赤外線の眼・皮膚障害,を手がかりに,,紫外線・レーザー・赤外線は「紫外線、レーザー、赤外線の眼、皮膚障害」とは、許容照射および保護具選定を手がかりに。
/terms/ultraviolet-infrared-injury-concept.html,紫外線・赤外線障害（概念）,を手がかりに,,紫外線・赤外線障害（概念は「紫外線、赤外線障害（概念）」とは、眼および皮膚障害の実務を手がかりに。
/terms/earplug-earmuff-attenuation.html,耳せつ・耳あての減衰値と保守,を手がかりに,,耳せつ・耳あての減衰値とは「耳せつ、耳あての減衰値と保守」とは、装着不良が効果を潰す論点を手がかりに。
/terms/workplace-cancer-screening.html,職場におけるがん検診,定義が短い/中身が薄い,,職場におけるがん検診は。
/terms/blood-gas-acid-base-balance-electrolyte-abnormality.html,血液ガス・酸塩基平衡・電解質異常,定義が短い/中身が薄い,,血液ガス・酸塩基平衡・電は。
/terms/negative-pressure-pcr-environment.html,負圧隔離・PCR検査環境（概念）,を手がかりに,,負圧隔離・PCR検査環境は「負圧隔離、PCR検査環境（概念）」とは、感染対策設備に関する基本的な論点を手がかりに。
/terms/construction-machine-vibration.html,車両系建設機械等の振動（指針との関係）,を手がかりに / を語るときに / を説明するときに / 位置づけられます,,「車両系建設機械等の振動（指針との関係）」とは、測定および評価の全体像を手がかりに。ばく露評価・対策の優先順位・管理区分などを説明するときに有害環境と対策・管理の対応を語るときに位置づけられます。
/terms/pesticides-insecticides.html,農薬・殺虫剤（概念）,を手がかりに,,農薬・殺虫剤（概念）は「農薬、殺虫剤（概念）」とは、経皮および吸入と急性症状を手がかりに。
/terms/explosion-proof-grounding-static.html,防爆・接地・静電気（有機溶剤）,を手がかりに,,防爆・接地・静電気（有機は「防爆、接地、静電気（有機溶剤）」とは、火災爆発と換気および設備の論点を手がかりに。
/terms/dust-collection-exhaust-gas-treatment.html,除じん・排ガス処理（性能・保守）,を手がかりに,,除じん・排ガス処理（性能は「除じん、排ガス処理（性能、保守）」とは、ろ過材、静電およびスクラバ等の概念を手がかりに。
/terms/electromagnetic-field-high-frequency-low-frequency-concept.html,電磁界（高周波・低周波の概念）,を手がかりに,,電磁界（高周波・低周波のは「電磁界（高周波、低周波の概念）」とは、健康影響評価に関する基本的な論点を手がかりに。
