hub_file,slug,title,column,length,min_recommended
comparisons.csv,koyou-teiki-kenshin,雇入時健康診断と定期健康診断,common_mistakes,19,20
comparisons.csv,ichiji-teiki-sokutei,作業環境測定の種類,common_mistakes,17,20
comparisons.csv,anzen-eisei-iinkai,安全衛生委員会と衛生委員会,common_mistakes,15,20
comparisons.csv,risk-chemical,リスクアセスメントと化学物質管理,common_mistakes,18,20
comparisons.csv,risk-chemical,リスクアセスメントと化学物質管理,memory_tip,14,15
comparisons.csv,niji-teiki-kenshin,二次健康診断と定期健康診断,common_mistakes,18,20
comparisons.csv,senmu-sennin,専任と兼務の衛生管理者,common_mistakes,15,20
comparisons.csv,nikkin-yakin-kenshin,日勤健診と夜勤・深夜業の健康管理,memory_tip,13,15
comparisons.csv,tokutei-kagaku-kubun,特定化学物質と第1〜第3管理区分,common_mistakes,17,20
comparisons.csv,tokutei-kagaku-daini,特定化学物質第一種と第二種,common_mistakes,18,20
comparisons.csv,yukibaiyo-daiichi,有機溶剤第一種と第二種管理,common_mistakes,16,20
comparisons.csv,yukibaiyo-daiichi,有機溶剤第一種と第二種管理,memory_tip,14,15
comparisons.csv,kanri-kubun-123,第1〜第3管理区分の比較,common_mistakes,17,20
comparisons.csv,yugai-gyoumu-sennin,有害業務と専任衛生管理者,common_mistakes,18,20
comparisons.csv,yugai-gyoumu-sennin,有害業務と専任衛生管理者,memory_tip,14,15
comparisons.csv,tokushu-teiki-kenshin,特殊健康診断と定期健康診断,common_mistakes,19,20
comparisons.csv,kagaku-sds-chousa,化学物質調査とSDS管理,common_mistakes,18,20
comparisons.csv,asbestos-prior-survey-compare-s33,石綿事前調査と作業管理の比較,article_lead,36,40
comparisons.csv,tokuka-first-class-compare-s33,第一類特化則の重点比較,article_lead,33,40
comparisons.csv,work-env-rating-standard-compare-s33,作業環境評定基準の比較,article_lead,32,40
comparisons.csv,management-category-change-compare-s33,管理区分変更時の判断比較,article_lead,34,40
comparisons.csv,exclusive-fulltime-appointment-compare-s33,選任・常勤・専任の比較,article_lead,32,40
comparisons.csv,health-check-result-handling-compare-s33,健康診断結果取扱いの比較,article_lead,35,40
comparisons.csv,chemical-survey-flow-compare-s33,化学物質調査フロー比較,article_lead,33,40
comparisons.csv,lead-job-measures-compare-s34,鉛健診と就業措置の比較,article_lead,34,40
comparisons.csv,asbestos-removal-record-compare-s34,石綿除去記録の比較,article_lead,37,40
comparisons.csv,tokuka-first-improvement-compare-s34,第一類物質の改善措置比較,article_lead,32,40
comparisons.csv,review-procedure-category-compare-s34,区分見直し手続の比較,article_lead,31,40
comparisons.csv,five-domain-score-strategy-compare-s34,5範囲配点戦略の比較,article_lead,33,40
comparisons.csv,ten-person-appointment-compare-s34,10人選任論点の比較,article_lead,35,40
comparisons.csv,health-result-disclosure-compare-s34,健診結果開示の比較,article_lead,35,40
comparisons.csv,hiring-education-entry-compare-s34,雇入れ時教育の比較,article_lead,35,40
comparisons.csv,harmful-work-deep-compare-s35,第一種有害業務深掘りの比較,common_mistakes,18,20
comparisons.csv,exam44-domains-compare-s35,44問各範囲攻略の比較,common_mistakes,18,20
comparisons.csv,work-supervisor-link-compare-s35,作業主任者連携の比較,article_lead,39,40
comparisons.csv,work-supervisor-link-compare-s35,作業主任者連携の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-compare-s35,化学物質第一類管理の比較,common_mistakes,18,20
comparisons.csv,asbestos-removal-compare-s35,石綿除去管理の比較,article_lead,38,40
comparisons.csv,asbestos-removal-compare-s35,石綿除去管理の比較,common_mistakes,18,20
comparisons.csv,lead-management-compare-s35,鉛管理の比較,article_lead,35,40
comparisons.csv,lead-management-compare-s35,鉛管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-compare-s35,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,appointment-requirements-compare-s35,選任要件の比較,article_lead,36,40
comparisons.csv,appointment-requirements-compare-s35,選任要件の比較,common_mistakes,18,20
comparisons.csv,special-health-exam-compare-s35,特殊健診の比較,article_lead,36,40
comparisons.csv,special-health-exam-compare-s35,特殊健診の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-compare-s35,改善計画の比較,article_lead,36,40
comparisons.csv,improvement-plan-compare-s35,改善計画の比較,common_mistakes,18,20
comparisons.csv,harmful-work-deep-compare-s36,第一種有害業務深掘りの比較,common_mistakes,18,20
comparisons.csv,exam44-domains-compare-s36,44問各範囲攻略の比較,common_mistakes,18,20
comparisons.csv,work-supervisor-link-compare-s36,作業主任者連携の比較,article_lead,39,40
comparisons.csv,work-supervisor-link-compare-s36,作業主任者連携の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-compare-s36,化学物質第一類管理の比較,common_mistakes,18,20
comparisons.csv,asbestos-removal-compare-s36,石綿除去管理の比較,article_lead,38,40
comparisons.csv,asbestos-removal-compare-s36,石綿除去管理の比較,common_mistakes,18,20
comparisons.csv,lead-management-compare-s36,鉛管理の比較,article_lead,35,40
comparisons.csv,lead-management-compare-s36,鉛管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-compare-s36,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,appointment-requirements-compare-s36,選任要件の比較,article_lead,36,40
comparisons.csv,appointment-requirements-compare-s36,選任要件の比較,common_mistakes,18,20
comparisons.csv,special-health-exam-compare-s36,特殊健診の比較,article_lead,36,40
comparisons.csv,special-health-exam-compare-s36,特殊健診の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-compare-s36,改善計画の比較,article_lead,36,40
comparisons.csv,improvement-plan-compare-s36,改善計画の比較,common_mistakes,18,20
comparisons.csv,harmful-work-deep-compare-s37,第一種有害業務深掘りの比較,common_mistakes,18,20
comparisons.csv,exam44-domains-compare-s37,44問各範囲攻略の比較,common_mistakes,18,20
comparisons.csv,work-supervisor-link-compare-s37,作業主任者連携の比較,article_lead,39,40
comparisons.csv,work-supervisor-link-compare-s37,作業主任者連携の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-compare-s37,化学物質第一類管理の比較,common_mistakes,18,20
comparisons.csv,asbestos-removal-compare-s37,石綿除去管理の比較,article_lead,38,40
comparisons.csv,asbestos-removal-compare-s37,石綿除去管理の比較,common_mistakes,18,20
comparisons.csv,lead-management-compare-s37,鉛管理の比較,article_lead,35,40
comparisons.csv,lead-management-compare-s37,鉛管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-compare-s37,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,appointment-requirements-compare-s37,選任要件の比較,article_lead,36,40
comparisons.csv,appointment-requirements-compare-s37,選任要件の比較,common_mistakes,18,20
comparisons.csv,special-health-exam-compare-s37,特殊健診の比較,article_lead,36,40
comparisons.csv,special-health-exam-compare-s37,特殊健診の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-compare-s37,改善計画の比較,article_lead,36,40
comparisons.csv,improvement-plan-compare-s37,改善計画の比較,common_mistakes,18,20
comparisons.csv,harmful-work-deep-compare-s38,第一種有害業務深掘りの比較,common_mistakes,18,20
comparisons.csv,exam44-domains-compare-s38,44問各範囲攻略の比較,common_mistakes,18,20
comparisons.csv,work-supervisor-link-compare-s38,作業主任者連携の比較,article_lead,39,40
comparisons.csv,work-supervisor-link-compare-s38,作業主任者連携の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-compare-s38,化学物質第一類管理の比較,common_mistakes,18,20
comparisons.csv,asbestos-removal-compare-s38,石綿除去管理の比較,article_lead,38,40
comparisons.csv,asbestos-removal-compare-s38,石綿除去管理の比較,common_mistakes,18,20
comparisons.csv,lead-management-compare-s38,鉛管理の比較,article_lead,35,40
comparisons.csv,lead-management-compare-s38,鉛管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-compare-s38,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,appointment-requirements-compare-s38,選任要件の比較,article_lead,36,40
comparisons.csv,appointment-requirements-compare-s38,選任要件の比較,common_mistakes,18,20
comparisons.csv,special-health-exam-compare-s38,特殊健診の比較,article_lead,36,40
comparisons.csv,special-health-exam-compare-s38,特殊健診の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-compare-s38,改善計画の比較,article_lead,36,40
comparisons.csv,improvement-plan-compare-s38,改善計画の比較,common_mistakes,18,20
comparisons.csv,harmful-work-deep-compare-s39,第一種有害業務深掘りの比較,common_mistakes,18,20
comparisons.csv,exam44-domains-compare-s39,44問各範囲攻略の比較,common_mistakes,18,20
comparisons.csv,work-supervisor-link-compare-s39,作業主任者連携の比較,article_lead,39,40
comparisons.csv,work-supervisor-link-compare-s39,作業主任者連携の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-compare-s39,化学物質第一類管理の比較,common_mistakes,18,20
comparisons.csv,asbestos-removal-compare-s39,石綿除去管理の比較,article_lead,38,40
comparisons.csv,asbestos-removal-compare-s39,石綿除去管理の比較,common_mistakes,18,20
comparisons.csv,lead-management-compare-s39,鉛管理の比較,article_lead,35,40
comparisons.csv,lead-management-compare-s39,鉛管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-compare-s39,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,appointment-requirements-compare-s39,選任要件の比較,article_lead,36,40
comparisons.csv,appointment-requirements-compare-s39,選任要件の比較,common_mistakes,18,20
comparisons.csv,special-health-exam-compare-s39,特殊健診の比較,article_lead,36,40
comparisons.csv,special-health-exam-compare-s39,特殊健診の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-compare-s39,改善計画の比較,article_lead,36,40
comparisons.csv,improvement-plan-compare-s39,改善計画の比較,common_mistakes,18,20
comparisons.csv,daiichi-harmful-comprehensive-compare-s40,第一種有害業務総合の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-detail-compare-s40,特定化学物質第一類詳細の比較,common_mistakes,18,20
comparisons.csv,lead-tetra-alkyl-ops-compare-s40,鉛・四アルキル鉛運用の比較,common_mistakes,18,20
comparisons.csv,asbestos-mgmt-compare-s40,石綿管理の比較,article_lead,36,40
comparisons.csv,asbestos-mgmt-compare-s40,石綿管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-mgmt-compare-s40,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,exam44-final-prep-compare-s40,44問直前対策の比較,article_lead,39,40
comparisons.csv,exam44-final-prep-compare-s40,44問直前対策の比較,common_mistakes,18,20
comparisons.csv,appointment-dedicated-duty-compare-s40,選任専任性の比較,article_lead,37,40
comparisons.csv,appointment-dedicated-duty-compare-s40,選任専任性の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-directive-compare-s40,改善計画指示の比較,article_lead,38,40
comparisons.csv,improvement-plan-directive-compare-s40,改善計画指示の比較,common_mistakes,18,20
comparisons.csv,chem-survey-record-compare-s40,化学物質調査記録の比較,common_mistakes,18,20
comparisons.csv,safety-health-mgmt-system-compare-s40,安全衛生管理体制の比較,common_mistakes,18,20
comparisons.csv,daiichi-harmful-comprehensive-compare-s41,第一種有害業務総合の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-detail-compare-s41,特定化学物質第一類詳細の比較,common_mistakes,18,20
comparisons.csv,lead-tetra-alkyl-ops-compare-s41,鉛・四アルキル鉛運用の比較,common_mistakes,18,20
comparisons.csv,asbestos-mgmt-compare-s41,石綿管理の比較,article_lead,36,40
comparisons.csv,asbestos-mgmt-compare-s41,石綿管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-mgmt-compare-s41,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,exam44-final-prep-compare-s41,44問直前対策の比較,article_lead,39,40
comparisons.csv,exam44-final-prep-compare-s41,44問直前対策の比較,common_mistakes,18,20
comparisons.csv,appointment-dedicated-duty-compare-s41,選任専任性の比較,article_lead,37,40
comparisons.csv,appointment-dedicated-duty-compare-s41,選任専任性の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-directive-compare-s41,改善計画指示の比較,article_lead,38,40
comparisons.csv,improvement-plan-directive-compare-s41,改善計画指示の比較,common_mistakes,18,20
comparisons.csv,chem-survey-record-compare-s41,化学物質調査記録の比較,common_mistakes,18,20
comparisons.csv,safety-health-mgmt-system-compare-s41,安全衛生管理体制の比較,common_mistakes,18,20
comparisons.csv,daiichi-harmful-comprehensive-compare-s42,第一種有害業務総合の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-detail-compare-s42,特定化学物質第一類詳細の比較,common_mistakes,18,20
comparisons.csv,lead-tetra-alkyl-ops-compare-s42,鉛・四アルキル鉛運用の比較,common_mistakes,18,20
comparisons.csv,asbestos-mgmt-compare-s42,石綿管理の比較,article_lead,36,40
comparisons.csv,asbestos-mgmt-compare-s42,石綿管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-mgmt-compare-s42,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,exam44-final-prep-compare-s42,44問直前対策の比較,article_lead,39,40
comparisons.csv,exam44-final-prep-compare-s42,44問直前対策の比較,common_mistakes,18,20
comparisons.csv,appointment-dedicated-duty-compare-s42,選任専任性の比較,article_lead,37,40
comparisons.csv,appointment-dedicated-duty-compare-s42,選任専任性の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-directive-compare-s42,改善計画指示の比較,article_lead,38,40
comparisons.csv,improvement-plan-directive-compare-s42,改善計画指示の比較,common_mistakes,18,20
comparisons.csv,chem-survey-record-compare-s42,化学物質調査記録の比較,common_mistakes,18,20
comparisons.csv,safety-health-mgmt-system-compare-s42,安全衛生管理体制の比較,common_mistakes,18,20
comparisons.csv,daiichi-harmful-comprehensive-compare-s43,第一種有害業務総合の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-detail-compare-s43,特定化学物質第一類詳細の比較,common_mistakes,18,20
comparisons.csv,lead-tetra-alkyl-ops-compare-s43,鉛・四アルキル鉛運用の比較,common_mistakes,18,20
comparisons.csv,asbestos-mgmt-compare-s43,石綿管理の比較,article_lead,36,40
comparisons.csv,asbestos-mgmt-compare-s43,石綿管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-mgmt-compare-s43,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,exam44-final-prep-compare-s43,44問直前対策の比較,article_lead,39,40
comparisons.csv,exam44-final-prep-compare-s43,44問直前対策の比較,common_mistakes,18,20
comparisons.csv,appointment-dedicated-duty-compare-s43,選任専任性の比較,article_lead,37,40
comparisons.csv,appointment-dedicated-duty-compare-s43,選任専任性の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-directive-compare-s43,改善計画指示の比較,article_lead,38,40
comparisons.csv,improvement-plan-directive-compare-s43,改善計画指示の比較,common_mistakes,18,20
comparisons.csv,chem-survey-record-compare-s43,化学物質調査記録の比較,common_mistakes,18,20
comparisons.csv,safety-health-mgmt-system-compare-s43,安全衛生管理体制の比較,common_mistakes,18,20
comparisons.csv,daiichi-harmful-comprehensive-compare-s44,第一種有害業務総合の比較,common_mistakes,18,20
comparisons.csv,tokuka-first-class-detail-compare-s44,特定化学物質第一類詳細の比較,common_mistakes,18,20
comparisons.csv,lead-tetra-alkyl-ops-compare-s44,鉛・四アルキル鉛運用の比較,common_mistakes,18,20
comparisons.csv,asbestos-mgmt-compare-s44,石綿管理の比較,article_lead,36,40
comparisons.csv,asbestos-mgmt-compare-s44,石綿管理の比較,common_mistakes,18,20
comparisons.csv,organic-first-class-mgmt-compare-s44,有機溶剤第一種管理の比較,common_mistakes,18,20
comparisons.csv,exam44-final-prep-compare-s44,44問直前対策の比較,article_lead,39,40
comparisons.csv,exam44-final-prep-compare-s44,44問直前対策の比較,common_mistakes,18,20
comparisons.csv,appointment-dedicated-duty-compare-s44,選任専任性の比較,article_lead,37,40
comparisons.csv,appointment-dedicated-duty-compare-s44,選任専任性の比較,common_mistakes,18,20
comparisons.csv,improvement-plan-directive-compare-s44,改善計画指示の比較,article_lead,38,40
comparisons.csv,improvement-plan-directive-compare-s44,改善計画指示の比較,common_mistakes,18,20
comparisons.csv,chem-survey-record-compare-s44,化学物質調査記録の比較,common_mistakes,18,20
comparisons.csv,safety-health-mgmt-system-compare-s44,安全衛生管理体制の比較,common_mistakes,18,20
